Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
total_budget,Total Budget,Total Budget,,0,
energy_efficiency,Energy efficiency,Energy efficiency,total_budget,0,
fossil_fuels,Fossil fuels,Fossil fuels,total_budget,1,
renewables,Renewables,Renewables,total_budget,2,
nuclear,Nuclear,Nuclear,total_budget,3,
other_power_and_storage_technologies,Other power and storage technologies,Other power and storage technologies,total_budget,4,
hydrogen_and_fuel_cells,Hydrogen and fuel cells,Hydrogen and fuel cells,total_budget,5,
other_cross_cutting_technologies/research,Other cross-cutting technologies/research,Other cross-cutting technologies/research,total_budget,6,
unallocated,Unallocated,Unallocated,total_budget,7,
